S.,Aff. No.,Name of,Organization & address,Contact person/,Email Id/ Website,Project Details,,,,
10,693,"Kavya Foundation, ",,Narendra Pandey -,narendra.pandey101@gmail.com,SHG,,,,
,,"WB – 93, Ground Floor, ",,"09301824171, ",,,,,,
,,"Shakarpur, Delhi – 110092 ",,(O) 09301824171,,,,,,
11,745,"Arya Yuva Kendra,",Kheda Khurd,Vijendra Kumar –,"aykendra@gmail.com, ",,,,,
,,"H.No.103, ",,"9971077621, ",www.aykendra.org,,,,,
,,"Kheda Khurd,",Delhi – 110082,"(O) 09868719743,",FCRA,"Gaushala, School ",,,,
,,,,9599531165,,,,,,
12,783,"Multi Vision Foundation, ",,Anil Singh Arya –,"mvfngo@gmail.com, ",,,,,
,,"Street No -1A, Kamla Bhawan, ",,"9868033050, ",www.mvfngo.org,◆◆◆,,,,
,,"Swatantar Nagar, ",,"(O) 9868033050, ",FCRA,Water conservation,,,,
,,"Narela, Delhi -110040 ",,011 – 65515200,,"and harvesting,",,,,
,,,,,,Environmet,,,,
,,,,,,awareness/,,,,
,,,,,,"workshops,Tree",,,,
,,,,,,planting,,,,
13,838,Akhil Bhartiya Gramin Uthan,,Rajesh Verma –,abgusho@gmail.com,◆ ,,,,
,,"Samiti, ",,"09212505900, ",FCRA,"Gram Arogya Rakshak,",,,,
,,"T-3, Malhan Plaza, ",,(O) 011- 45012155,,village health &,,,,
,,"Third Floor,","Plot No: 5, ",,,sanitation committee,,,,
,,"Pocket-7, Sector-12, ",,,,"training, blood",,,,
,,"Dwarka,",Delhi – 110075,,,"donation camp, yoga",,,,
,,,,,,"training camp, ",,,,
,,,,,,livestock & animal,,,,
,,,,,,"husbandry, Women’s",,,,
,,,,,,"federation, Kishori",,,,
,,,,,,"vikas project, Rural",,,,
,,,,,,"development, Go Seva ",,,,
14,788,International Divya Parivar,,Dr Amit Jain –,"divyaparivar@gmail.com, ",Various skill,,,,
,,"Society, ",,"09871909808,","mail@divyaparivar.in, ",development training,,,,
,,,,,,"centre, basic computer",,,,
,,,,,,,34,,,
,,"“Sannidhi”, ",9958543366,www.divyaparivar.in,"courses,",handicraft,,,,
,,"A -28, Mansa Ram Park, ",,,items,"making, wood",,,,
,,Near Dwarka Mod Metro,,,products making,,,,,
,,"Station, Uttam Nagar, ",,,"training centre,",,,,,
,,Delhi - 110059,,,Coaching centres for,,,,,
,,,,,school students,,,,,
15,897,"Nation First, ",Rajat Gupta -,"rajatgupta_83@rediffmail.com,",,,,,,
,,"A - 81, Radheshyam Park",9953425145,"rajatgupta@nationfirstngo.org, ",◆ Child,,,,,
,,"Extension, Delhi - 110051 ",,"vishalgupta@nationfirstngo.org,","Education, Health,",,,,,
,,,,www.nationfirstngo.org,Vocational Training,,,,,
,,,,,"Programs, Women",,,,,
,,,,,"Empowerment,",,,,,
,,,,,Swachh Bharat,,,,,
,,,,,"Abhiyan, National",,,,,
,,,,,Skills Development,,,,,
,,,,,Corporation STAR,,,,,
,,,,,Scheme,,,,,
16,898,"Ice Skating Association of India,","(o) 011 - 23257985, ","icesai2003@yahoo.com, ",Encourage,,,,,
,,"7/19, Ansari Road, Darya Ganj, ",RK Gupta -,"iceskatingindia@gmail.com,",and promote physical,,,,,
,,New Delhi - 110002,9810477117,info@iceskatingindia.in,fitness for men and,,,,,
,,,,www.iceskatingindia.in,women through Ice,,,,,
,,,,,"Skating, ii) Develop,",,,,,
,,,,,"regulate, organize, ",,,,,
,,,,,control & financial,,,,,
,,,,,assistance Ice Skating,,,,,
,,,,,sport in India. iii) Hold,,,,,
,,,,,various competitions,,,,,
,,,,,"for Men, Women, (both",,,,,
,,,,,"Senior and Junior), iv)",,,,,
,,,,,organize and hold,,,,,
,,,,,coaching and training,,,,,
,,,,,"and refresher courses,",,,,,
,,,,,camps for participants.,,,,,
,,,,,,,35,,,
,,,,,v) Arrange and sponsor,,,,,
,,,,,participation of,,,,,
,,,,,National and other,,,,,
,,,,,teams in the,,,,,
,,,,,International,,,,,
,,,,,"competitions, vi)",,,,,
,,,,,Arrange representation,,,,,
,,,,,of the India in National,,,,,
,,,,,and International,,,,,
,,,,,bodies.,,,,,
17,906,"Sant Eshwer Foundation, ",Kapil Khanna –,"santeshwerfoundation@gmail.com, ",,,,,,
,,"Vatsala - R - 578, ","9333777777, ","kapilkhanna@gmail.com, ",Tribal & Rural area,,,,,
,,"New Rajinder Nagar, ",(O) - 011 - 45524970,www.santeshwerfoundation.com,"people development,",,,,,
,,New Delhi - 110060,,,"Rural area, Women",,,,,
,,,,,"empowerment , Child",,,,,
,,,,,"development,",Special,,,,
,,,,,contribution (Based on,,,,,
,,,,,"Indian thoughts – Arts,",,,,,
,,,,,"Literature, Research,",,,,,
,,,,,"Self Reliance, etc) ",,,,,
18,925,"Heal Foundation, ",Tel.No.,contact@healfoundation.in,,,,,,
,,"A-178/21, Ground Floor, ",011-46056883,,,,,,,
,,"Dayanand Colony, Near Rama",9212683640,,,,,,,
,,"Books,Lajpat Nagar –iv, New",,,,,,,,
,,Delhi-110024,,,,,,,,
,,Devgiri,,,,,,,,
1,10,Vivekananda Medical,Anil Andhorikar -,"vhlatur@gmail.com ,",,,,,,
,,"Foundation & Research Centre,","9423076994, ",www.vivekanandahospital.in,Vriddhashram,,,,,
,,Latur,"(O) 02382 - 245901, ",,Vivekanand,,,,,
,,"Vidya Nagar, ","902, 903 ",,Multispecialty,,,,,
,,"Signal Camp, ",,,"Hospital 95 beds,",,,,,
,,Latur – 413512,,,Vivekanand Super,,,,,
,,,,,speciality Hospital 80,,,,,
,,,,,,,36,,,
,,,,,,"beds, Orthopaedic ",,,,
,,,,,,Hospital 25 beds,,,,
2,271,Savitri Bai Phule Shikshan,Sriram Idate -,,dadaidate8@gmail.com,,,,,
,,"Prasarak Mandal, Jalgaon ","9869960111, ",,,College:,,,,
,,"659, Ramgopal Sadan, ","(O) 02358 – 282259,",,,Commerce,& Science,,,
,,"Anand Nagar, At & Post Jalgaon,",283267,,,"College, Ambedkar",,,,
,,"Tq. Dapoli, ",,,,"Vidya Mandir,",,,,
,,Distt. Ratangiri – 415712,,,,Balasadan Batoli,,,,
,,,,,,"Bhatke, Vimukt,",,,,
,,,,,,Ashramshala,,,,
,,,,,,Bhatke Vimukat,,,,
,,,,,,Madhyamik,,,,
,,,,,,"Agramshala Asonda,",,,,
,,,,,,Batoli,,,,
3,329,"Keshav Smriti Prathisthan, ",Bharat Amalkar –,,"kspratishthan@gmail.com,kesabsevas",,,,,
,,"117/119, “Sewa” Navipeth, ","09422292137, ",,"amiti@yahoo.in,adesh.mahato@yaho",,,,,
,,Jalgaon – 425001,(O),"0257 – 2236166,","o.in,info@keshavsmruti.org,",Shravan Vikas Mandir,,,,
,,,"2233699,",,www.keshavsmruti.org,"(for Deaf & Dumb), old",,,,
,,,9957748062,,,"age home,- SHG,",Blood,,,
,,,,,,"Bank,",Bafna Eye,,,
,,,,,,Bank & Clinic,,,,
4,365,Mahatma Phule Krushi,Ravindra Kulkarni –,,ravikulkarni1969@gmail.com,,,,,
,,"Pratisthan, ","09423150067, ",,,◆ Shashwat,,,,
,,"4, Shri Sudha Appartment, "," (O) 0240 – 2323741,",,,"Kheti, Projects ",,,,
,,"15, Devgiri Colony, Kranti",2653479,,,,,,,
,,"Chowk, Police Station Road,",,,,,,,,
,,"AURANGABAD – 431001, ",,,,,,,,
,,Sambhaji Nagar,,,,,,,,
5,374,Swami Vivekananda Samaj,Uday Tandulje – 0240 -,,"udaytandulje@gmail.com,",,,,,
,,Prabodhan Bahudeshiya,"42258080, 27450386, ",,www.svspbs.org,◆,,,,
,,"Sanstha, ","(O) 0240 – 42258080,",,,SHG,,,,
,,"C/o. Sri Uday Tandulje, Shastri",9422208683,,,,,,,
,,"Colony, Silhod, Aurangabad Dist",,,,,,,,
,,,,,,,37,,,
,,-431005,,,,,,,,
6,672,Akhil Bharatiya Vidyarthi,,Prakash Pathak –,"vsslatur@gmail.com,",,,,,
,,Parishad Vivekanand,Sanskar,"09422472260 (Secy), ","pkp4440@yahoo.com, ",,,,,
,,"Sanstha, Chhatra Shakti Kenda, ",,(O) 02362 - 245374,www.abvp.org,"Hostel for students,",,,,
,,"Old Ausa Road, ",,,,skill development,,,,
,,"Laxmi Colony, Latur – 413512 ",,,,"courses, vocational",,,,
,,,,,,"training courses,",,,,
,,,,,,"computer training, ",,,,
,,,,,,self study centre,,,,
,,Goraksh,,,,,,,,
1,245,Seva Shayog Samiti,,Naradeshwar Rai –,sewasahyogsamiti@gmail.com, ◆,,,,
,,"Gram Post Gotha, ",,"9415275413, ",,Water harvesting,,,,
,,Mau Dist – 275303,,(O) 05461 – 233221,,,,,,
2,246,"Sewa Bharati, Gorakhpur ",,Dr. Mahendra Agarwal,"sev8860@gmail.com, ",,,,,
,PPS,"Madhav Dhaam, Dayanand",,"– 09415280665, ",bcsb@rediffmail.com,"Medical Centre,",,,,
,,"Marg, Rajendar Nagar East,",,(O) 0551 – 2260117,,"School, ",,,,
,,Gorakhpur – 273015,,,,Kusth Ashram,,,,
3,247,Bharatiya Gramodyog Mahila,,Dhirendra Pandey-,dhirendrapandey@yahoo.com,◆,,,,
,,"Evam Bal Vikas Sansthan, ",,"9935573068, ",,No detail,,,,
,,"Ibrahimabad – 275303, ",,(O) 9935573068,,,,,,
,,"Post – Dohri Ghat Ghosi Tq, ",,,,,,,,
,,Mau Dist,,,,,,,,
4,248,Muktidhaam Seva Sansthan,,Gulabchand Gupta -,"bks_doc_55@yahoo.com,",,,,,
,,"Dohri Ghaat, ",,"09936139919, ",brijeshguptag64@gmail.com,Muktidham Vridha,,,,
,,"Post Dist., Mau – 275303 ",,(O) 9236337806,,Sewa Ashram,,,,
5,249,Sharda Shikshan Evam Samajik,,Durgvijay Rai –,shardaseva@gmail.com,,,,,
,,"Sewa Sansthan Amila, ",,"05461-247665,",,,,,,
,,"Ambedkar Chowk, ",,"9415839256, ",,No detail,,,,
,,"At & Post – Amila – 275303, ",,(O) 05461-247665,,,,,,
,,Dist – Mau,,,,,,,,
6,666,Action for Peace Prosperity,,Dr SK Srivastava –,"appl.trust@rediffmail.com,",,,,,
,,,,,,,38,,,
,,"& Liberty, ","09889259053, ",www.appltrust.org,,,,,,
,,"30, Vindhayavasini Nagar, ",(O) 0551-2205315,,No detail,,,,,
,,"Bank Road , ",,,,,,,,
,,Gorakhpur - 273001,,,,,,,,
7,673,"Sai Seva Sansthan, ",Laxmi Prasad Gupta-,shardaseva@gmail.com,,,,,,
,,"Gandhi Nagar, Mohamadabad, ","09415844893, ",,,,,,,
,,"Gohana, Dist. Mau - 276403 ",(O)09838451726,,SHG,,,,,
8,749,Gramoday Vikas Yog Sadhna,Hemnath Mishra –,gramodayvikassansthan@gmail.com,,,,,,
,,"Jyotish Sewa Sansthan, ","9616629961, ",,,,,,,
,,"Gram & Post Maryadpur, ","(O) 07408200059,",,SHG,,,,,
,,Dist Mau – 221602,8115800393,,,,,,,
9,759,"Civil Rights Awareness Mission,",Alok Barun -,-,,,,,,
,,"Tapeshwari Kutir, New Basti,","09839170195, ",,,,,,,
,,"Mahmoodpur, Mughal Sarai, ",(O)09839170195,,No detail,,,,,
,,Dist Chandali – 232101,,,,,,,,
10,760,"Sarokar Sewa Sansthan, ",Ramendrakumar,"sarokarsevas@gmail.com, ",,,,,,
,,"Gram Kohra, Post Sutawar, ",Tripathi –,rkt12psy@gmail.com,,,,,,
,,"Via Lar, Tah Salempur, ","09415282625, ",,No detail,,,,,
,,Dist Deoria – 274502,"(O) 09450093194,",,,,,,,
,,,9415282625,,,,,,,
11,761,Sri Ram Shikshan Evam Sewa,Yashpal–,yash.19_pal@yahoo.in,,,,,,
,,"Sansthan, ","09415320555, ",,,,,,,
,,"Vill & Post Kushmaha, ","(O) 09415320555, ",,No detail,,,,,
,,"Via Laxmi Ganj, ",8543018866,,,,,,,
,,Dist Kushinagar – 274 306,,,,,,,,
12,762,"Adarsh Balkalyan Sansthan, ",Markande Prasad Sahi,adarshbalks99@gmail.com,,,,,,
,,"Gram Patkholi, Post Badgon, ","– 09415383967, ",,,,,,,
,,Dist Sant Kabeer,(O)09415383967,,"family counselling,",,,,,
,,Nagar – 272171,,,School 1 to 8th std -,,,,,
,,,,,250 students,,,,,
13,763,"Vivekanand Sewa Mission , ",Swami Dr Vijay -,-,,,,,,
,,"C – 117/150, ","09935530304, ",,,,,,,
,,,,,,39,,,,
,,"A – Jagannathpur, ",,(O) 09935530304,,No detail,,,,
,,"Durga Park, ",,,,,,,,
,,Gorakhpur – 273001,,,,,,,,
14,764,"Sri Venkateshwara Sansthan, ",,Pawan Upadhyay –,pawankupadhyay@gmail.com,,,,,
,,"Central School Road, Hirapatti,",,"09196103322, ",,,,,,
,,Azamgarh – 276001,,"(O) 09415020758,",,School till 5th std –,,,,
,,,,9196103322,,girls & boys 220,,,,
,,,,,,"childs, computer",,,,
,,,,,,training centre,,,,
15,765,"Prayas Welfare Society , ",,(Secy) Pramod Kumar,prayasgkp1@gmail.com,,,,,
,,246 – Greencity,"Colony, ",Srivastav –,,,,,,
,,"Gorakhnath, ",,"09839915181, ",,,,,,
,,Gorakhpur - 273015,,8765608732,,Animal husbendary,,,,
16,766,Pragati Shikshan Evam Gramin,,Dr Satyendrakumar,"sarojinigh1971@gmail.com, ",,,,,
,,"Vikas Sansthan, ",,Sinha (Secy) –,drsatyendragkpbjp@gmail.com,,,,,
,,"66 D, Humayupur North, ",,"09452264031, ",,Hostel for boys & girls,,,,
,,Near Hirvani Lane – 273015,,(O) 09452264031,,"9th to B.com, Tailoring",,,,
,,,,,,"centre, medical camp ",,,,
17,767,Bharati Kala Niketan Shiksha,,Bharati Sharma –,-,,,,,
,,"Samiti, Nai Bazar, ",,"08115361004, ",,,,,,
,,Devariya,Dist – 274001,(O) 09450291584,,No detail,,,,
18,768,Sri Radha Baba Gau Sewa,,Satyadev Singh -,"pawanxrawat@gmail.com, ",,,,,
,,"Sansthan, Avadhpur, ",,"09795231874, ",10pkmall@gmail.com,,,,,
,,"Sardar Nagar, ",,(O) 09450557349,,No detail,,,,
,,Gorakhpur – 273202,,,,,,,,
,,"(ii) 552, Bishunpura, House",,,,,,,,
,,"Geeta Vatika, Gorakhpur ",,,,,,,,
19,769,Poorvanchal Shiksha Evam Sewa,,Achyutanand Shahi -,-,,,,,
,,"Samiti, ",,9936049150,,,,,,
,,"Dakshini Betiya Hata, Mirjapur,",,,,No detail,,,,
,,"Near Phalmandi, Post New",,,,,,,,
,,Shivpuri,,,,,,,,
,,,,,,,40,,,
,,"Colony, Gorakhpur – 273016 ",,,,,,,,
20,770,Nanglia Shiksha Evam Swasthya,,Deepak Singh -,-,,,,,
,,"Sanstha, ",,"08187957719, ",,,,,,
,,"Normal School Road,",,"(O)0551 – 2336121,",,No detail,,,,
,,"Alhadadpur, ",,9415280665,,,,,,
,,Gorakhpur – 273001,,,,,,,,
21,771,"Adarsh Gramo Sewa Sansthan, ",,Ramnayan Nishad -,-,,,,,
,,"Gram Bhaupur, ",,"09839371007, ",,,,,,
,,"Post Chouri Choura, ",,(O) 09807076179,,No detail,,,,
,,Dist Gorakhpur – 273002,,,,,,,,
22,772,"Manav Hitkari Society , ",,Tarkeshwar Shahi -,-,,,,,
,,"Gram Jatmalpur, ",,9415629655,,,,,,
,,"Post Piparpati, ",,,,"School 8th std,",,,,
,,Dist Devariya – 274001,,,,"Tailoring centre,",,,,
,,,,,,computer,centre,,,
23,773,"Parvati Sewa Kendra , ",,Tarun Pandey –,pssgkp@gmail.com,,,,,
,,"Near Hanuman Mandir, ",,"9793702777, ",,,,,,
,,"Betiya Hata, ",,"(O) 09794952680,",,,,,,
,,Gorakhpur – 273001,,9794952683,,,,,,
24,774,Sri Hanuman Prasad Poddar,,Manmohan Jajodiya -,-,,,,,
,,"Smarak Samiti , ",,9336409588,,,,,,
,,"Post Gita Vatika, ",,,,No detail,,,,
,,Gorakhpur – 273006,,,,,,,,
25,775,"Jan Sewa Sansthan, ",,Anandeswar Dubey -,dubeyanandeshwar@gmail.com,,,,,
,,"Gram Tikri, Post Karval,",,9415449052,,,,,,
,,"Majhgaon, ",,,,No detail,,,,
,,Gorakhpur,-273411,,,,,,,
26,776,"Shiv Shakti Seva Sthan, ",,Prahlad Verma –,-,,,,,
,,"Gram Hata Bazar, ",,"9125730788, ",,,,,,
,,"Post Shivpur, ",,"(O) 09450440798,",,No detail,,,,
,,Gorakhpur – 273412,,9935223982,,,,,,
27,777,Krishi Gorakshan Evam,,Vijaykumar Jalan –,-,,,,,
,,"Paryavaran Sansthan, ",,"9336400440, ",,,,,,
,,,,,,,41,,,
,,"Jalan Market, Sahab Ganj, ",,,(O) 09336447440,,No detail,,,
,,"Po Gita Press, ",,,,,,,,
,,Gorakhpur,-273005,,,,,,,
28,778,"Spandan Welfare Society, ",,,Manishkumar Singh –,-,,,,
,,"Madiya Post & Tahsil, Sadar, ",,,8004033344,,,,,
,,Ajamgarh – 276001,,,,,No detail,,,
29,779,"Radhakrishnan Sewa Sansthan, ",,,09415313058 -,-,,,,
,,"177, Jail Road, ",,,Raj Kishor Singh,,,,,
,,Gorakhpur – 273006,,,,,No detail,,,
30,780,"Nirvikalp Sewa Sansthan, ",,,Vishal Kumar Srivatsav,nirvikalpvs@rediffmail.com,,,,
,,"MIG – 39, Vikas Nagar Vistar,",,,"-09305194955, ",,,,,
,,"Bargadwa, ",,,(O) 09792042321,,No detail,,,
,,Gorakhpur – 273015,,,,,,,,
31,782,Umeed Foundation Generous,,,Sidharth Rai -,acesiddharth@gmail.com,"Education, Social,",,,
,,"Trust, Dadrighat, ",,,8953993807,,"Namtik, Health,",,,
,,"Post Sadar Vikas, Gazipur Dist ",,,,,"Swalalamban, etc (All) ",,,
32,786,Amar Shaheed Chetna,,,Anjay Sharma –,ascs06@yahoo.co.in,,,,
,,"Samsthan, ",,,"09889739870, ",,,,,
,,"Gram Gaangeveer, ",,,(O) 09415213511,,No details,,,
,,"Post Madhuban, ",,,,,,,,
,,Dist Mau – 221603,,,,,,,,
33,787,"Global Human Help Association, ",,,??,??,,,,
,,"Behind Gurudwara, ",,,,,,,,
,,"Prakash Colony, Mohdeepur, ",,,,,No detail,,,
,,"Gorakhpur – 226001, U.P. ",,,,,???,,,
34,848,"Kabir Shikshan Seva Sansthan, ",,,Meera Mittal –,"mmgupta12@yahoo.co.in,",,,,
,,"233, Hada",Hawa,"Pathak, Near","07275583348,",kabeereducationalsociety@gmail.com,,,,
,,"SBI, Nirala","Nagar, ",,9839837378,,Awareness-,,,
,,"P.O. Basaratpur,",,,,,"deaddiction, aids",,,
,,Gorakhpur,-273004,,,,cancer awareness &,,,
,,,,,,,"health camps, training",,,
,,,,,,,"programme, SHG etc. ",,,
,,,,,,,,42,,
35,900,"Sadaguru Educational Society, ",,Rama Shankar Shukla -,rsshukla068@gmail.com,,,,,
,," 85B, Ram Janaki Nagar,",,9305532059,,"Tailoring Centre,",,,,
,,"Basharatpur, ",,,,"Organic Farming,",,,,
,,Gorakhpur - 273004,,,,"Computer Centre,",,,,
,,,,,,Implementation of,,,,
,,,,,,Beti Bachao - Beti,,,,
,,,,,,Padhao Yojana,,,,
36,901,Janta Vaidik Shiksha Evam Sewa,,Gajendra Nath Rai -,"jvmcollegemdl@gmail.com, ",◆,,,,
,,"Samiti, ",,9415710681,"ngojvsass@gmail.com, ",Hostel & Gurukul for,,,,
,,"Gram & Post Menhdawal, Janpat",,,www.jantavaidic.com,"boys, Library,",,,,
,,"Sant Kabir Nagar, ",,,,Agricultural,,,,
,,U.P. -,272271,,,development training,,,,
,,,,,,"camps,",,,,
,,,,,,Environmental,,,,
,,,,,,"awareness, Training",,,,
,,,,,,centre for,Women &,,,
,,,,,,"Handicapped, Bal",,,,
,,,,,,"Sanskar Kendra,",,,,
,,,,,,Ayurvedic,medical,,,
,,,,,,centre,,,,
37,907,Grameen Mahila Evam Bal,,Sushila Mishra,-,"grameen.mahila@gmail.com, ",◆,,,
,,"Utthan Sewa Samiti, Bhimapar",,087380 75281,sushilamishra4@gmail.com,"SHG, skill",,,,
,,"Railway Crossing bansi Road,",,,,development,training,,,
,,"Dist - Siddharth Nagar, U.P. - 272",,,,centre for rural,,,,
,,202,,,,"women & youths,",,,,
,,,,,,Environmental,,,,
,,,,,,"awareness, tree",,,,
,,,,,,plantation,,,,
38,910,"Jagrati Sewa Sansthan, ",,Sandeep Shreya –,"sandeepshreya.tripathi@gmail.com,",,,,,
,,"426 A, Pandey Colony,",,"09415691699,",sansthanjagritisewa@gmail.com,Agricultural,,,,
,,"Betiyahata Dist Gorakhpur, U.P.",,7376014652,,awareness,,,,
,,-,273 001,,,"programme, milk",,,,
,,,,,,"diary, social",,,,
,,,,,,"development,",,,,
,,,,,,HIV/AIDS awareness,,,,
,,,,,,,43,,,
,,,,,,programme,,,,
39,922,Dr. Bhim Rao Ambedkar Kusht,,Santosh Kumar Rao -,-,Help for Leprosy,,,,
,,Sewa,"Sansthan, ",98380 19727,,peoples,,,,
,,"Paharpur,","Post Gotha, Rasulpur,",,,,,,,
,,"Janpath, ",,,,,,,,
,,"Deoria,",U. P. - 274201,,,,,,,
,,GUJARAT,,,,,,,,
1,20,Dr. Ambedkar Vanavasi Kalyaan,,Tulsi Mavani -,"davkt.seva@gmail.com,",◆,,,,
,,"Trust, Surat ",,"09724443311, ","davkt_seva@yahoo.com,",Hostel,for 44,,,
,,"Near Rushabh Tower, ",,"(O) 0261 – 2781399,",www.sevatribals.org,"students, ",,,,
,,"Rander Rd., ",,"2781382,",,"IAS Training centre,",,,,
,,SURAT - 395009,,9510091307,,"SHG, ",,,,
,,,,,,Yoga Center,,,,
2,21,Dr. Hedgewar Smriti Sewa,,Piyush,Rajnikant,"piyush.mehta85@yahoo.com, ",,,,
,,"Samiti, Surat ",,"Mehta - 09427826650, ",dhsseva1988@gmail.com,,,,,
,,"18, Madhav Nagar, Rishab Char",,(O) 0261-2786255,,No detail,,,,
,,"Rasta, Rander Marg, SURAT- ",,,,,,,,
,,395009,,,,,,,,
3,22,Shree Rameshwar Mahadev,,Anilbhai P Vyas –,-,,,,,
,,"Dharmik Trust, Rameswar",,"9426743370, ",,◆,,,,
,,"Mahadev Mandir, ",,(O) 079-27622141,,No detail,,,,
,,"Nirnayanagar , ",,,,,,,,
,,Ahmedabad - 382481,,,,,,,,
4,24,Dr. Hedgewar Janmshatabdi,,Harihar Bhatta –,girish8251@gmail.com,,,,,
,,"Sewa Samiti, Kareli Bagh ",,"9429458972, ",,,,,,
,,"55, Gandhi Nagar Society,",,"(O)0265–2680294,",,No detail,,,,
,,Behind,"Arya Kanya Vidyalaya,",2463009,,,,,,
,,"Kareli Bagh, ",,,,,,,,
,,Vadodara - 390018,,,,,,,,
5,27,"Sewa Bharati, Gujarat ",,Girish Himmatlal Patel,sewabhartiguj@yahoo.com,,,,,
,PPS,"Sewa Bhawan, ",,"– 09427614011, ",,,,,,
,,"7, Jolly Park Society, Kankaria, ",,(O)079 –,,No detail,,,,
,,Ahemdabad – 380022,,"25,328,500,400",,,,,,
,,,,,,,44,,,
6,34,Dr. Hedgewar Janmshatabdi,,Ashokbhai Rawal –,ashokbhai08@gmail.com,,,,,
,,"Seva Samiti, Rajkot ",,"09426077692, ",,,,,,
,,"Dr.Hedgewar Bhawan, ",,"(O)0281 - 2224545,",,"Dr Ambedkar hospital,",,,,
,,"9, Rajputpura, ",,2332150,,Hostel,,,,
,,Rajkot - 360001,,,,,,,,
7,366,"Chuwal Gram Vikas Trust, ",,Chandubhai Patel –,chuwalgram@yahoo.com,,,,,
,,"H – 301, Shanti Niketan",,"9825309553,",,,,,,
,,"Apartment, Gurukul Road,",,"9601259041, ",,"Gram Vikas, ",,,,
,,Ahmedabad,- 380 052,"(O) 079 – 27412424,",,"AIDS Control, SHG ",,,,
,,,,22124288,,,,,,
8,370,"Vasundhara Trust, ",,Dr. Vallabbhai –,"drkathiria@gmail.com,",,,,,
,,"222, Backbone Shopping Center,",,"0281 – 2463706, ",vasundharaorg.raj@rediffmail.com,,,,,
,,"Mayani Chowk, ",,"(O)0281 – 2360768,",,No detail,,,,
,,Rajkot – 360004,,2463706,,,,,,
9,390,Vidya Bharati Educational &,,Lalitbhai Mehta –,vidyabhartiwkr@yahoo.in,,,,,
,,"Charitable Trust, ",,"02828-220248, ",,,,,,
,,"Nyalchand Doshi, ",,"(O)02828 – 220916,",,"Primary Schools, ",,,,
,,"Vidhya Nagar,",,222780,,"Girls High School,",,,,
,,"Rajkot Marg, ",,,,Colleges,,,,
,,"WANKANER – 363621, ",,,,,,,,
,,Dist- Rajkot,,,,,,,,
10,391,"Youth Organization, ",,Pushkarbhai Trivedi –,vidyabhartiwkr@yahoo.in,,,,,
,,"Nyalchand Doshi Vidya Nagar,",,"02828 – 220916, ",,◆,,,,
,,"Rajkot Marg, Wankaner, ",,(O) 02828 – 222288,,No detail,,,,
,,Dist- Rajkot - 363621,,,,,,,,
11,392,Aai Shri Khodiyar Gau Seva &,,Pushkarbhai Trivedi -,vidyabhartiwkr@yahoo.in,,,,,
,,"Vidya Niketan Trust, ",,"02828-220916, ",,,,,,
,,"Bazaar Chowk, WANKANER-",,"(O) 02828 – 220248,",,Higher Primary,,,,
,,"363621, Dist- Rajkot ",,220916,,"School,",Middle School,,,
,,,,,,girls &b oys,,,,
12,393,The Wankaner Education Society,,A.B. Mehta -,wesw_2008@yahoo.com,,,,,
,,"Trust, C/o. Shree Amarsinhji",,"09426237567, ",,,,,,
,,,,,,,45,,,
,,"High School, Wankaner – 363621",(O)02828 – 220564,,"Middle School, Higher",,,,,
,,"Dist, Rajkot ",,,Primary School,,,,,
13,394,"Devdaya Charitable Trust, ",Ketanbhai Mehta-,"devdayawkr@yahoo.co.in,",,,,,,
,,"C/o . NR Doshi Eye Hospital,","9825224640, ",www.devdayatrust.org,"Eye hospital , General",,,,,
,,"Rajkot Road, ",(O) 02828 - 222082,,"hospital with Path lab,",,,,,
,,"WANKANER- 363621,","9408939982,",,"digital X ray units, ",,,,,
,,Dist. Rajkot,9426237567,,,,,,,
14,415,"Sahyog Kushta Yagna Trust, ",Suresh Soni -,"sahyogtrust@ymail.com,",,,,,,
,,"Rajendranagar Crossing,","9825011185, ",www.sahyogtrust.org.in,"Goshala , Hostel for",,,,,
,,"Himatnagar – Udaipur Highway, ","9429241900, ",FCRA,children of leprosy,,,,,
,,"Tq Himatnagar, ",(O)02772 – 254337,,affected persons and,,,,,
,,Dist SABARKANTHA - 383276,,,poor patients,,,,,
,,,,,"children,","Bala Sadan,",,,,
,,,,,"Balika Sadan, Apang",,,,,
,,,,,"Mansik Mandir, Smt",,,,,
,,,,,Shubadraben Hospital,,,,,
,,,,,Leprosy detection,,,,,
,,,,,centre,,,,,
15,433,"Shree Ram Seva Samiti, ","09825025117,",rushimotors@yahoo.com,,,,,,
,,"30, Sardar Complex, ",9879265056-,,,,,,,
,,"Near Patni Gate, ","Prakash Bhai, ",,No detail,,,,,
,,Radhanpur- 385340,"(O) 09825025117, ",,,,,,,
,,Dist – Patan,9879265056,,,,,,,
16,434,"Manav Kalyan Mandal, Gujarat, ",Mukesh P. Merja -,"mpmerja@yahoo.com, ",,,,,,
,,4 – Ganga Jamuna Saraswati,"09426737273,","info@sevaindia.org, ",,,,,,
,,"Tower, University Road, ","09429166766,",www.sevaindia.org,Old age Home,,,,,
,,Rajkot – 360005,(O)09426737273,FCRA,,,,,,
17,435,"Shri Navchetan Andhjan Mandal,",Laljibhai Prajapati –,"admin@navchetan.org, ",,,,,,
,,"Madhapar, ","9825226598, ","info@navchetan.org, ",,,,,,
,,"Opp. Kachchh Dairy, ","(O) 02832–242367,",www.navchetan.org,To provide education,,,,,
